Month,Quarter,Year,LineOfBusiness,AmountType,Estimate,Actual
2024-09,Q3-2024,2024,COMM_FIRE,CapitalCost,2475000,
2024-09,Q3-2024,2024,COMM_FIRE,Claims,30760000,31375200
2024-09,Q3-2024,2024,COMM_FIRE,ExpectedProfit,2250000,
2024-09,Q3-2024,2024,COMM_FIRE,ExternalCost,4500000,4590000
2024-09,Q3-2024,2024,COMM_FIRE,InternalCost,5400000,
2024-09,Q3-2024,2024,COMM_FIRE,Premium,45000000,45900000
2024-09,Q3-2024,2024,HOUSEHOLD,CapitalCost,4125000,
2024-09,Q3-2024,2024,HOUSEHOLD,Claims,56568065,57699426
2024-09,Q3-2024,2024,HOUSEHOLD,ExpectedProfit,3750000,
2024-09,Q3-2024,2024,HOUSEHOLD,ExternalCost,7500000,7650000
2024-09,Q3-2024,2024,HOUSEHOLD,InternalCost,9000000,
2024-09,Q3-2024,2024,HOUSEHOLD,Premium,78750000,80325000
2024-09,Q3-2024,2024,LIABILITY,CapitalCost,2090000,
2024-09,Q3-2024,2024,LIABILITY,Claims,23940000,24418800
2024-09,Q3-2024,2024,LIABILITY,ExpectedProfit,1900000,
2024-09,Q3-2024,2024,LIABILITY,ExternalCost,3800000,3876000
2024-09,Q3-2024,2024,LIABILITY,InternalCost,4560000,
2024-09,Q3-2024,2024,LIABILITY,Premium,38000000,38760000
2024-09,Q3-2024,2024,LIFE_HEALTH_EU,CapitalCost,2640000,
2024-09,Q3-2024,2024,LIFE_HEALTH_EU,Claims,27840000,28396800
2024-09,Q3-2024,2024,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2024-09,Q3-2024,2024,LIFE_HEALTH_EU,ExternalCost,4800000,4896000
2024-09,Q3-2024,2024,LIFE_HEALTH_EU,InternalCost,5760000,
2024-09,Q3-2024,2024,LIFE_HEALTH_EU,Premium,48000000,48960000
2024-09,Q3-2024,2024,MOTOR,CapitalCost,3025000,
2024-09,Q3-2024,2024,MOTOR,Claims,40577778,41389334
2024-09,Q3-2024,2024,MOTOR,ExpectedProfit,2750000,
2024-09,Q3-2024,2024,MOTOR,ExternalCost,5500000,5610000
2024-09,Q3-2024,2024,MOTOR,InternalCost,6600000,
2024-09,Q3-2024,2024,MOTOR,Premium,55000000,56100000
2024-09,Q3-2024,2024,SPECIALTY_AVTN,CapitalCost,1375000,
2024-09,Q3-2024,2024,SPECIALTY_AVTN,Claims,15750000,16065000
2024-09,Q3-2024,2024,SPECIALTY_AVTN,ExpectedProfit,1250000,
2024-09,Q3-2024,2024,SPECIALTY_AVTN,ExternalCost,2500000,2550000
2024-09,Q3-2024,2024,SPECIALTY_AVTN,InternalCost,3000000,
2024-09,Q3-2024,2024,SPECIALTY_AVTN,Premium,25000000,25500000
2024-09,Q3-2024,2024,TECH_RISK,CapitalCost,1760000,
2024-09,Q3-2024,2024,TECH_RISK,Claims,15273244,15578709
2024-09,Q3-2024,2024,TECH_RISK,ExpectedProfit,1600000,
2024-09,Q3-2024,2024,TECH_RISK,ExternalCost,3200000,3264000
2024-09,Q3-2024,2024,TECH_RISK,InternalCost,3840000,
2024-09,Q3-2024,2024,TECH_RISK,Premium,32000000,32640000
2024-09,Q3-2024,2024,TRANSPORT,CapitalCost,1210000,
2024-09,Q3-2024,2024,TRANSPORT,Claims,14774222,15069706
2024-09,Q3-2024,2024,TRANSPORT,ExpectedProfit,1100000,
2024-09,Q3-2024,2024,TRANSPORT,ExternalCost,2200000,2244000
2024-09,Q3-2024,2024,TRANSPORT,InternalCost,2640000,
2024-09,Q3-2024,2024,TRANSPORT,Premium,22000000,22440000
2024-10,Q4-2024,2024,COMM_FIRE,CapitalCost,2475000,
2024-10,Q4-2024,2024,COMM_FIRE,Claims,27250000,26432500
2024-10,Q4-2024,2024,COMM_FIRE,ExpectedProfit,2250000,
2024-10,Q4-2024,2024,COMM_FIRE,ExternalCost,4500000,4365000
2024-10,Q4-2024,2024,COMM_FIRE,InternalCost,5400000,
2024-10,Q4-2024,2024,COMM_FIRE,Premium,45000000,43650000
2024-10,Q4-2024,2024,HOUSEHOLD,CapitalCost,4125000,
2024-10,Q4-2024,2024,HOUSEHOLD,Claims,52717205,51135689
2024-10,Q4-2024,2024,HOUSEHOLD,ExpectedProfit,3750000,
2024-10,Q4-2024,2024,HOUSEHOLD,ExternalCost,7500000,7275000
2024-10,Q4-2024,2024,HOUSEHOLD,InternalCost,9000000,
2024-10,Q4-2024,2024,HOUSEHOLD,Premium,75000000,72750000
2024-10,Q4-2024,2024,LIABILITY,CapitalCost,2090000,
2024-10,Q4-2024,2024,LIABILITY,Claims,23940000,23221800
2024-10,Q4-2024,2024,LIABILITY,ExpectedProfit,1900000,
2024-10,Q4-2024,2024,LIABILITY,ExternalCost,3800000,3686000
2024-10,Q4-2024,2024,LIABILITY,InternalCost,4560000,
2024-10,Q4-2024,2024,LIABILITY,Premium,38000000,36860000
2024-10,Q4-2024,2024,LIFE_HEALTH_EU,CapitalCost,2640000,
2024-10,Q4-2024,2024,LIFE_HEALTH_EU,Claims,27840000,27004800
2024-10,Q4-2024,2024,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2024-10,Q4-2024,2024,LIFE_HEALTH_EU,ExternalCost,4800000,4656000
2024-10,Q4-2024,2024,LIFE_HEALTH_EU,InternalCost,5760000,
2024-10,Q4-2024,2024,LIFE_HEALTH_EU,Premium,48000000,46560000
2024-10,Q4-2024,2024,MOTOR,CapitalCost,3025000,
2024-10,Q4-2024,2024,MOTOR,Claims,39081778,37909325
2024-10,Q4-2024,2024,MOTOR,ExpectedProfit,2750000,
